Client1,Client2,Start_Time,End_Time
74,36,2408236814,2408237354
100,49,2408420637,2408422077
97,62,2408445679,2408446219
58,34,2408352016,2408355196
76,28,2408903544,2408905884
3,46,2408418577,2408418817
62,97,2408484728,2408487908
3,31,2408654941,2408656381
57,36,2408153594,2408155754
43,70,2408526520,2408527420
94,31,2408865716,2408868596
70,46,2408804726,2408805506
35,34,2408626758,2408627898
6,32,2408978608,2408980648
3,70,2408339281,2408341741
31,86,2408730834,2408731434
29,61,2408971348,2408971768
83,79,2408417892,2408417952
52,2,2408625324,2408626224
58,35,2408935222,2408938342
74,36,2408657598,2408657658
43,75,2408677382,2408677622
94,31,2408857192,2408858932
87,31,2408601560,2408601740
30,79,2408528630,2408531870
23,39,2408250573,2408251473
87,21,2408896381,2408896621
3,63,2408413205,2408413985
28,31,2408684395,2408684695
49,33,2408935567,2408939107
74,57,2408201230,2408204710
43,3,2408771716,2408772376
2,28,2408953694,2408954114
69,70,2408328784,2408329744
46,3,2408601726,2408602566
98,87,2408531589,2408531829
22,76,2408745159,2408748699
74,57,2408265865,2408266825
15,54,2408235522,2408238822
86,50,2408964383,2408965163
52,2,2408941231,2408944111
54,41,2408100426,2408101206
53,29,2408441014,2408442574
49,63,2408560561,2408562361
94,87,2408826802,2408830102
82,15,2408866588,2408869048
65,43,2408396036,2408397896
63,35,2408824534,2408825554
33,39,2408860691,2408863991
36,57,2408436989,2408440409
97,52,2408239436,2408242916
12,39,2408200853,2408201513
61,29,2408339867,2408340527
2,54,2408026221,2408026581
28,34,2408603761,2408607001
76,30,2408015773,2408018593
3,70,2408516079,2408517279
98,87,2408209029,2408210769
57,36,2408745606,2408747946
70,46,2408401465,2408402545
30,79,2408221281,2408223321
3,32,2408177716,2408180176
58,86,2408320771,2408320891
28,75,2408596020,2408596860
3,61,2408449878,2408450178
46,43,2408133054,2408133174
36,57,2408607001,2408609101
52,62,2408649245,2408650745
16,22,2408021326,2408021386
61,53,2408413113,2408414493
35,6,2408239706,2408242226
97,62,2408628679,2408631019
32,6,2408750582,2408753702
29,35,2408054580,2408056800
2,82,2408463324,2408464524
54,69,2408633709,2408635089
94,21,2408519417,2408522957
3,86,2408409107,2408409827
53,63,2408686156,2408686576
16,28,2408665632,2408668272
3,70,2408655286,2408655766
26,49,2408000802,2408003382
62,97,2408914443,2408917143
79,76,2408525655,2408527095
87,98,2408970523,2408972263
100,39,2408973594,2408974434
86,28,2408113805,2408115605
30,76,2408123513,2408125673
97,52,2408193652,2408197072
79,94,2408499735,2408502195
75,28,2408225562,2408227242
41,2,2408291497,2408292037
74,36,2408108272,2408109952
50,3,2408016840,2408019480
53,63,2408319870,2408321730
100,63,2408063029,2408063329
43,46,2408365723,2408367043
43,46,2408539583,2408541743
1,12,2408219778,2408220378
49,12,2408263317,2408264277
70,28,2408747553,2408748633
62,2,2408339269,2408342629
79,83,2408012018,2408013878
25,54,2408258414,2408261954
50,58,2408831762,2408832182
63,39,2408415605,2408416565
70,46,2408900906,2408901746
94,87,2408230005,2408232225
26,33,2408996040,2408997660
97,52,2408708548,2408709148
21,87,2408634740,2408638160
31,98,2408907704,2408908844
43,70,2408059524,2408063004
17,61,2408242115,2408243015
52,2,2408567341,2408569141
15,69,2408082315,2408085795
74,36,2408113614,2408114694
46,70,2408186948,2408189648
62,2,2408139112,2408140552
44,97,2408766125,2408769185
1,12,2408112921,2408116341
39,97,2408023541,2408025221
29,84,2408861685,2408863245
35,31,2408186568,2408190108
75,23,2408660977,2408661637
21,98,2408014608,2408016768
75,76,2408763173,2408765873
17,29,2408355736,2408356456
36,57,2408605198,2408606338
2,52,2408579149,2408579389
52,97,2408257478,2408257838
21,94,2408715201,2408718801
31,79,2408052217,2408055337
50,34,2408322800,2408323760
35,3,2408117757,2408119437
2,70,2408097003,2408100003
83,94,2408303119,2408304559
97,43,2408881683,2408883483
70,2,2408208685,2408209645
52,62,2408783791,2408785051
98,79,2408403995,2408405315
3,61,2408352945,2408354745
35,29,2408629289,2408630849
41,25,2408538630,2408541510
35,34,2408467700,2408470160
82,15,2408979424,2408980624
32,35,2408492858,2408493878
3,6,2408894732,2408896112
25,2,2408658931,2408661151
82,2,2408623195,2408624935
34,86,2408965104,2408968164
3,63,2408045305,2408048905
33,1,2408580582,2408581722
83,79,2408485710,2408488470
30,28,2408601079,2408601859
100,39,2408251158,2408252238
35,3,2408419249,2408421829
43,46,2408081400,2408084280
50,28,2408110375,2408112655
28,22,2408235464,2408237804
1,39,2408107227,2408109267
100,1,2408720109,2408723229
58,28,2408947547,2408949767
25,54,2408818671,2408821971
43,3,2408623200,2408626260
31,58,2408350016,2408351336
41,97,2408309068,2408310328
12,33,2408504858,2408507978
53,29,2408981251,2408982811
75,44,2408799249,2408800569
79,76,2408694896,2408696516
23,75,2408609043,2408611743
31,35,2408432293,2408435173
41,54,2408275616,2408276456
75,44,2408207964,2408208384
23,97,2408572534,2408576014
53,61,2408564813,2408566433
3,70,2408971990,2408975530
39,49,2408001826,2408004766
65,39,2408693011,2408696011
79,28,2408851238,2408851538
94,31,2408670109,2408671249
94,83,2408690749,2408693269
35,6,2408480412,2408482992
83,98,2408937396,2408938356
29,53,2408856971,2408857991
1,33,2408431982,2408432762
76,28,2408837016,2408837436
33,49,2408015128,2408017468
32,29,2408193414,2408193774
90,4,2408728342,2408730142
75,79,2408773928,2408776928
25,28,2408496335,2408499515
44,75,2408191146,2408193666
79,76,2408069374,2408072314
39,12,2408412262,2408415562
63,39,2408724580,2408727820
16,76,2408314582,2408317642
17,84,2408104829,2408106869
76,79,2408776781,2408779661
87,31,2408483622,2408485482
46,70,2408436265,2408438545
79,31,2408775272,2408778212
62,97,2408655951,2408658351
87,79,2408569524,2408572464
41,65,2408452908,2408454708
70,25,2408592113,2408594453
21,79,2408001785,2408003885
28,15,2408161294,2408164414
76,16,2408092952,2408095232
34,3,2408616407,2408619347
17,63,2408489481,2408492661
33,1,2408566880,2408569760
87,79,2408391031,2408393731
79,28,2408499700,2408502700
29,53,2408330616,2408330796
35,86,2408275808,2408276048
69,54,2408415494,2408418254
97,52,2408586462,2408589042
43,75,2408349572,2408351072
94,83,2408016217,2408019517
3,84,2408260539,2408262759
23,90,2408204055,2408205015
63,1,2408221366,2408223646
43,70,2408368055,2408370035
30,22,2408292289,2408293069
32,6,2408120960,2408123720
29,6,2408970773,2408973413
35,28,2408356497,2408358297
75,90,2408434001,2408437601
31,28,2408059840,2408061940
39,41,2408106273,2408107473
21,31,2408256984,2408260224
100,49,2408344679,2408345399
3,84,2408058428,2408059208
28,75,2408534601,2408535981
58,35,2408776897,2408776957
63,12,2408125169,2408128409
50,35,2408911358,2408912498
36,74,2408544540,2408545020
28,2,2408820260,2408821940
97,65,2408557959,2408560359
97,39,2408643984,2408645304
28,69,2408428932,2408429532
3,84,2408879186,2408879666
58,3,2408089375,2408090755
83,87,2408123148,2408124828
22,79,2408640436,2408643916
54,70,2408620046,2408620646
90,44,2408758220,2408759840
12,63,2408654657,2408657357
31,86,2408508368,2408511968
63,12,2408671915,2408673295
4,97,2408217996,2408218176
65,4,2408371287,2408373147
2,97,2408733847,2408736007
28,30,2408110651,2408114011
31,79,2408515811,2408517071
98,83,2408291587,2408294947
29,17,2408299640,2408301500
31,83,2408920067,2408923247
70,43,2408578707,2408580507
32,63,2408280368,2408283548
87,94,2408625939,2408629239
79,16,2408783623,2408784523
15,41,2408669229,2408672649
39,33,2408457090,2408458950
3,31,2408344740,2408346960
2,97,2408602439,2408603579
79,16,2408564080,2408566780
97,2,2408189800,2408193220
3,32,2408201396,2408201876
61,29,2408775343,2408777203
79,98,2408397121,2408397901
44,90,2408224270,2408227210
53,6,2408586299,2408589719
57,74,2408835755,2408836835
75,30,2408345347,2408345647
70,41,2408165125,2408166325
35,86,2408485490,2408488610
54,2,2408733945,2408737245
23,90,2408226272,2408226692
22,79,2408371981,2408374141
79,83,2408630090,2408630690
69,15,2408603283,2408605623
4,39,2408550567,2408551707
6,17,2408005040,2408006420
63,32,2408457783,2408460243
4,43,2408344334,2408347334
90,4,2408919111,2408919291
31,50,2408992085,2408993825
29,3,2408107436,2408109656
32,61,2408020178,2408020538
43,70,2408310424,2408312884
17,53,2408387967,2408390787
94,79,2408235197,2408236757
46,3,2408471173,2408471953
76,75,2408632500,2408635080
52,62,2408541955,2408542615
82,69,2408813790,2408815110
53,17,2408755672,2408758852
52,2,2408241164,2408243204
28,30,2408098391,2408101451
70,2,2408163453,2408165793
6,32,2408526932,2408528432
6,3,2408198158,2408200438
15,41,2408742593,2408744153
74,57,2408577758,2408581298
12,49,2408765128,2408767948
4,23,2408555467,2408556667
39,65,2408563265,2408564765
16,30,2408506181,2408507261
97,75,2408030650,2408032090
97,65,2408226704,2408226944
50,31,2408755451,2408756711
35,17,2408369369,2408372849
2,15,2408154612,2408155572
86,34,2408228920,2408229520
17,84,2408636325,2408639325
22,30,2408158808,2408159948
16,28,2408794564,2408797564
23,44,2408427200,2408427680
2,82,2408464573,2408468113
76,75,2408177754,2408177814
97,39,2408537534,2408541014
34,50,2408911087,2408911327
34,86,2408337790,2408340550
53,17,2408223466,2408226346
86,28,2408252582,2408253962
83,79,2408030482,2408032882
26,39,2408194534,2408197774
2,62,2408717899,2408718739
87,21,2408430868,2408431948
22,76,2408338753,2408340013
98,79,2408432732,2408434352
2,97,2408396511,2408398011
53,3,2408298013,2408301433
28,79,2408619059,2408619719
75,79,2408142892,2408145712
41,75,2408391533,2408394893
28,82,2408682284,2408683484
39,23,2408381775,2408385015
2,62,2408767093,2408768653
33,63,2408161084,2408161744
84,61,2408497508,2408498828
35,34,2408482262,2408483342
17,32,2408715595,2408719195
26,12,2408472691,2408473351
39,65,2408339312,2408341532
25,41,2408271637,2408272717
28,30,2408571180,2408573880
58,3,2408243267,2408246627
33,100,2408193200,2408196320
98,31,2408361658,2408361778
3,29,2408925407,2408928047
79,21,2408003598,2408005638
15,41,2408844523,2408845063
70,82,2408614531,2408615011
41,70,2408738943,2408741343
15,70,2408726079,2408728839
30,16,2408238316,2408239516
21,83,2408876654,2408879834
26,100,2408287415,2408289755
94,98,2408441277,2408442597
29,17,2408422405,2408422525
3,86,2408802031,2408802091
26,63,2408732324,2408735864
28,58,2408793075,2408793435
3,43,2408663557,2408664637
75,65,2408623894,2408625814
79,94,2408731455,2408733735
28,69,2408198640,2408200620
32,17,2408927118,2408928678
62,52,2408298103,2408299063
33,26,2408679792,2408680332
98,94,2408964196,2408967736
2,97,2408438583,2408441883
33,39,2408924733,2408927973
6,61,2408934871,2408936251
3,58,2408090087,2408093567
69,2,2408681006,2408681186
65,23,2408852778,2408853258
23,65,2408371623,2408372943
41,70,2408157683,2408159423
31,87,2408584632,2408584752
43,3,2408769442,2408770222
65,41,2408236598,2408240138
31,21,2408197165,2408199085
86,3,2408401650,2408403510
12,39,2408076747,2408079387
21,83,2408959593,2408960433
49,33,2408156508,2408157948
57,74,2408737685,2408738105
75,28,2408930078,2408930978
100,12,2408348215,2408348755
50,28,2408462066,2408462186
63,32,2408071216,2408072536
46,3,2408087052,2408087892
3,28,2408182592,2408184872
15,25,2408423257,2408425837
49,39,2408430660,2408433900
79,76,2408970964,2408972404
54,15,2408561185,2408563405
86,31,2408329185,2408329305
98,31,2408473361,2408475881
30,79,2408835759,2408837979
2,82,2408241456,2408241696
39,43,2408122804,2408124244
1,49,2408763169,2408765089
26,12,2408913334,2408915614
4,75,2408520320,2408522240
87,94,2408357626,2408358406
49,12,2408847872,2408848772
