Client1,Client2,Start_Time,End_Time
7754,8592,2401010524,2401021035
3538,6643,2401012158,2401021521
6929,1082,2401010308,2401022120
8007,5131,2401012309,2401020435
7006,3187,2401011504,2401022239
8619,5581,2401010324,2401020857
4880,2445,2401010608,2401020814
9233,5414,2401010301,2401020329
3516,7399,2401010935,2401020106
1947,9952,2401011639,2401020916
6803,9560,2401010239,2401020706
3450,2491,2401011646,2401020707
4260,1550,2401011815,2401021645
7699,3098,2401011528,2401020031
6765,7246,2401012216,2401021453
4780,7939,2401010516,2401022114
2197,4321,2401010449,2401020932
2335,3098,2401010543,2401020509
5445,2574,2401011855,2401022236
6101,7231,2401011047,2401022312
8396,7668,2401011147,2401021615
3470,6875,2401011637,2401020231
7411,3824,2401010351,2401021537
2432,6881,2401011855,2401021656
1434,3403,2401012316,2401022006
6471,2781,2401011645,2401021159
6559,4816,2401011955,2401020731
3578,2925,2401011507,2401021046
9719,9899,2401010446,2401020654
1928,2771,2401010617,2401020452
1078,1895,2401010809,2401020808
9629,2628,2401010933,2401020555
3789,2066,2401010956,2401020350
2147,8789,2401010704,2401021521
6339,8946,2401010856,2401020139
7746,6672,2401011523,2401021526
5458,7199,2401010426,2401020506
2954,2152,2401011852,2401021339
8469,5344,2401012024,2401021332
2142,1415,2401010539,2401020932
5400,7468,2401010912,2401020213
2572,9399,2401011958,2401022232
7502,9401,2401012304,2401021638
1331,3647,2401011705,2401021612
8768,8066,2401010318,2401020236
4078,8516,2401011915,2401021118
4513,8081,2401012338,2401021847
2620,3423,2401011354,2401020724
6583,4147,2401010332,2401020015
8686,2449,2401011831,2401022028
2033,4709,2401011425,2401022314
2441,3988,2401011924,2401020956
7267,5770,2401012054,2401021013
6497,9778,2401010801,2401022322
2952,7365,2401020000,2401022349
5462,8530,2401010745,2401020714
7370,6632,2401010434,2401021742
4607,4779,2401011338,2401021620
1135,2711,2401011501,2401020654
2025,9379,2401010846,2401022321
5843,7804,2401011839,2401021328
1972,8316,2401011408,2401021255
4800,3800,2401011557,2401021226
2615,8912,2401010059,2401021457
5451,8668,2401010715,2401021656
4683,1985,2401012254,2401021627
4422,4863,2401011327,2401020655
2247,4804,2401010646,2401022055
8042,1470,2401011445,2401021959
8914,3361,2401011537,2401021112
4789,1178,2401012204,2401021439
4374,7030,2401010738,2401021247
6891,2308,2401011557,2401022000
3978,8949,2401010502,2401020113
2971,2786,2401011417,2401022104
5981,8283,2401012153,2401020101
5038,1824,2401011810,2401022342
6137,2144,2401010629,2401021515
4989,7641,2401012227,2401022049
6634,7309,2401012017,2401022342
3836,2497,2401011351,2401021149
1560,6613,2401011901,2401022346
8735,7333,2401011939,2401021931
4368,8023,2401010915,2401021900
5970,1864,2401010506,2401022325
8723,1516,2401012226,2401021431
3896,3951,2401012239,2401021500
3529,4660,2401010053,2401021856
1867,5325,2401011549,2401020434
8863,1732,2401010346,2401021703
7056,7920,2401011125,2401021054
5540,7836,2401011534,2401021648
9913,2410,2401010851,2401020445
6222,3602,2401010815,2401020443
7621,2521,2401011721,2401020454
5037,2983,2401011133,2401020708
1468,4129,2401010226,2401020539
2943,9956,2401010800,2401020458
2620,6824,2401011441,2401020550
2300,1955,2401011644,2401021005
